zaraitzuarra,izena_es,izena_eu,herria_es,herria_eu
erraldoia_167.png,Assona,Assona,Perrinche,Perrintxe
erraldoia_168.png,Reina Cristina,Kristina erregina,Tafalla,Tafalla
erraldoia_170.png,Sancho VII El Fuerte,Antso VII gogorra,Cintruénigo,Cintruénigo
erraldoia_171.png,Rey Donato,Donato erregea,Uharte-Arakil,Uharte-Arakil
erraldoia_172.png,Hilandera Maritxu,Maritxu irulea,Villava,Atarrabia
erraldoia_173.png,Mayordomo,Etxezaina,Zizur Mayor,Zizur Nagusia
erraldoia_185.png,Muzà ibn Muzà,Muzà ibn Muzà,Perrinche,Perrintxe
erraldoia_180.png,Rey Moro Garazi,Garrazi errege mairua,Leiza,Leitza
erraldoia_181.png,Petronila,Petronila,Irurzun,Irurtzun
erraldoia_182.png,Sancho VII El Fuerte,Antso VII gogorra,Tudela,Tutera
erraldoia_183.png,Rey Cristiano,Errege kristaua,Tafalla,Tafalla
erraldoia_201.png,Reina Mora,Erregina mairua,Cintruénigo,Cintruénigo
erraldoia_186.png,Ion el Ermitaño,Ion ermitau,San Jorge,Sanduzelai
erraldoia_187.png,Tartalo,Tartalo,Chantrea,Txantrea
erraldoia_188.png,Reina Mikaela,Mikaela erregina,Uharte-Arakil,Uharte-Arakil
erraldoia_190.png,Zanpantzar de Ituren,Itturengo zanpanzarra,San Juan,Donibane
erraldoia_191.png,Sidi abd El Mohame,Sidi abd El Mohame,Pamplona,Iruña
erraldoia_192.png,Mikel ,Mikel ,Buztintxuri,Buztintxuri
erraldoia_193.png,Dª Blanca de Navarra,Blanca de Navarra anderea,Cintruénigo,Cintruénigo
erraldoia_200.png,Ana,Ana,Buztintxuri,Buztintxuri
erraldoia_207.png,Solbella,Solbella,Perrinche,Perrintxe
erraldoia_202.png,Joshemiguelerico,Joshemiguelerico,Pamplona,Iruña
erraldoia_203.png,Pintor,Margolaria,Arre,Arre
erraldoia_205.png,Etxekoandre,Etxekoandre,Espinal,Auzberri
erraldoia_206.png,Luna,Ilargi,Zizur Mayor,Zizur Nagusia
erraldoia_208.png,Negro,Beltza,Tafalla,Tafalla
erraldoia_210.png,Sancha ,Sancha,Villava,Atarrabia
erraldoia_211.png,Mayordoma,Etxezaina,Huarte,Uharte
erraldoia_212.png,Reina Mora Lizarra,Lizarra erregina mairua,Leiza,Leitza
erraldoia_213.png,Amaia,Amaia,Irurzun,Irurtzun
erraldoia_220.png,Reina  ,Erregina,Arre,Arre
erraldoia_221.png,Mayordomo,Etxezaina,Huarte,Uharte
erraldoia_222.png,Ttunttunero,Ttunttunero,Espinal,Auzberri
erraldoia_223.png,Paloteador,Paloteador,Cortes,Cortes
erraldoia_225.png,García Ximénez,García Ximénez,Irurzun,Irurtzun
erraldoia_226.png,Felicia,Felicia,Buztintxuri,Buztintxuri
erraldoia_227.png,Abderramán II,Abderramán II,Cintruénigo,Cintruénigo
erraldoia_228.png,Volante de Valcarlos,Luzaideko bolantak,San Juan,Donibane
erraldoia_230.png,Benjamín de Tudela,Tudelako Benjamin,Perrinche,Perrintxe
erraldoia_231.png,Negra,Beltza,Tafalla,Tafalla
erraldoia_232.png,Sancha ,Sancha,Tudela,Tutera
erraldoia_233.png,María Périz Beortegui,María Périz Beortegui,Villava,Atarrabia
erraldoia_240.png,Paloteadora,Paloteadora,Cortes,Cortes
erraldoia_241.png,Antonio,Antonio,Buztintxuri,Buztintxuri
erraldoia_242.png,Pastor Martintxo,Martintxo artzaina,Villava,Atarrabia
erraldoia_243.png,Martija de Jáuregui,Jauregiko Martija,Uharte-Arakil,Uharte-Arakil
erraldoia_245.png,Rey africano Kirox,Afrikar erregea Kirox,Ablitas,Ablitas
erraldoia_246.png,Reina Blanca  ,Erregina txuria,Lesaka,Lesaka
erraldoia_247.png,Cantinera de Zuberoa,Zuberoako kantinera,San Juan,Donibane
erraldoia_248.png,Sol  ,Eguzkia,Zizur Mayor,Zizur Nagusia
erraldoia_250.png,San Antón,San Antón,Buñuel,Buñuel
erraldoia_251.png,Caballero,Jaun,Arre,Arre
erraldoia_252.png,Isabel de Ujué,Ujueko Isabel,Perrinche,Perrintxe
erraldoia_253.png,"Águeda, típica de la Cuenca",Ageda,Orkoien,Orkoien
erraldoia_260.png,Lurra,Lurra,Casco Viejo de Pamplona,Iruñeko Alde Zaharra
erraldoia_261.png,Isabel la Católica,Isabel katolikoa,Lumbier,Irunberri
erraldoia_262.png,Mayordomo Pascasio,Pascasio etxezaina,Noáin,Noain
erraldoia_263.png,Pimentonero,Piper-saltzailea,Lodosa,Lodosa
erraldoia_265.png,Blanca de Navarra,Blanca de Navarra,Carcastillo,Zarrakaztelu
erraldoia_266.png,Blanca de Navarra,Blanca de Navarra,Perrinche,Perrintxe
erraldoia_267.png,Mayordomo,Etxezaina,Berriozar,Berriozar
erraldoia_268.png,Rey Cristiano,Errege kristaua,Baigorri,Baigorri
erraldoia_270.png,Alfonso I El Batallador,Alfontso I batailaria,Buñuel,Buñuel
erraldoia_271.png,Vitorio,Vitorio,Ablitas,Ablitas
erraldoia_272.png,Beriniano,Beriniano,Barañain,Barañain
erraldoia_273.png,Reina Mora Yola,Yola mairu erregea,Cascante,Cascante
